query_frame_count,time_s,decision,seconds_since_previous_fix,position_error_m,is_good_fix,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_inlier_count,lg_inlier_ratio,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count
570,18.983,NO_FIX,,0.45885857727881757,False,6,0.9736969470977783,295,0.5662188099808061,v13,9562
600,19.984,NO_FIX,,13.267476470877684,False,5,0.9790535569190979,321,0.6381709741550696,v13,9622
630,20.985,NO_FIX,,13.674093695376529,False,3,0.9794303178787231,388,0.701627486437613,v13,9622
660,21.986,FIX,16.982,15.733289249705026,True,1,0.9901713728904724,450,0.7413509060955519,v13,9652
690,22.987,FIX,1.0009999999999977,13.574562290467181,True,2,0.9918549060821533,527,0.8541329011345219,v13,9682
720,23.988,FIX,1.0010000000000012,20.416687070165278,False,3,0.9822660684585571,559,0.9490662139219015,v13,9712
750,24.989,FIX,1.0010000000000012,26.281191595572672,False,3,0.9857127070426941,487,0.8484320557491289,v13,9712
780,25.989,FIX,1.0,34.5754792244651,False,3,0.9827907681465149,431,0.7996289424860853,v13,9712
810,26.99,NO_FIX,,43.86156991315498,False,3,0.9783230423927307,304,0.6696035242290749,v13,9712
840,27.991,NO_FIX,,36.03489216818918,False,4,0.9778603911399841,278,0.5377176015473888,v12,3358
870,28.992,NO_FIX,,31.466610193347268,False,3,0.9764407873153687,313,0.5872420262664165,v12,3418
900,29.993,NO_FIX,,28.381713781561714,False,3,0.9775183200836182,309,0.6082677165354331,v12,3448
930,30.994,NO_FIX,,25.453278250798533,False,1,0.9740193486213684,284,0.5358490566037736,v12,3478
960,31.995,NO_FIX,,24.031621777989876,False,3,0.9749893546104431,252,0.490272373540856,v12,3538
990,32.996,NO_FIX,,21.346755203505584,False,5,0.9741393327713013,268,0.5214007782101168,v12,3568
1020,33.997,NO_FIX,,18.12168160527414,False,4,0.9760497212409973,283,0.5847107438016529,v12,3598
1050,34.998,NO_FIX,,14.282559282205105,False,6,0.9763584733009338,275,0.5467196819085487,v12,3598
1080,35.998,NO_FIX,,12.11548490296622,False,5,0.9769012331962585,260,0.5306122448979592,v12,3658
1110,36.999,NO_FIX,,11.225580686658736,False,2,0.9838089346885681,271,0.5355731225296443,v12,3688
1140,38.0,NO_FIX,,6.9858814715732835,False,2,0.9842775464057922,286,0.5641025641025641,v12,3688
1170,39.001,NO_FIX,,10.951483605578078,False,1,0.9882155060768127,286,0.5209471766848816,v12,3718
1200,40.002,NO_FIX,,19.33245715547594,False,2,0.9853577613830566,263,0.5218253968253969,v12,3748
1230,41.003,NO_FIX,,30.60353731821334,False,3,0.9869359135627747,385,0.6754385964912281,v13,14568
1260,42.004,FIX,16.014999999999997,30.045262726322907,False,3,0.9895004630088806,459,0.7439222042139384,v13,14568
1290,43.005,NO_FIX,,17.592775172277122,False,1,0.9893745183944702,291,0.5205724508050089,v12,3868
1320,44.006,FIX,2.0020000000000024,2.684718891828185,True,3,0.9893443584442139,469,0.7237654320987654,v13,14658
1350,45.007,NO_FIX,,1.2408574382407238,False,3,0.9914102554321289,417,0.6813725490196079,v13,19394
1380,46.007,FIX,2.0009999999999977,4.3414930072760285,True,3,0.9912116527557373,509,0.8236245954692557,v13,19424
1410,47.008,FIX,1.0010000000000048,10.42837585618172,True,2,0.991837203502655,505,0.8145161290322581,v13,19424
1440,48.009,FIX,1.0009999999999977,16.31601132541602,True,1,0.9904190897941589,455,0.7350565428109854,v12,3987
1470,49.01,FIX,1.0009999999999977,3.231471456930588,True,6,0.9852807521820068,597,0.9506369426751592,v13,19513
