query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
v1,295,data/processed/frames_v1_1fps/frame_000011.jpg,v2,1,data/processed/frames_v2_1fps/frame_000001.jpg,0.948021650314331,10,28.507128253396434,32.10209180225905,35.20981204304631,32.10209867267387,35.20942613301477,36.3989714510745
v1,325,data/processed/frames_v1_1fps/frame_000012.jpg,v2,1,data/processed/frames_v2_1fps/frame_000001.jpg,0.9374239444732666,10,37.82732059551516,32.10203924146812,35.20982109243583,32.10209867267387,35.20942613301477,37.82732059551516
v1,355,data/processed/frames_v1_1fps/frame_000013.jpg,v2,1,data/processed/frames_v2_1fps/frame_000001.jpg,0.9269914627075195,10,39.972015917378876,32.1019858657789,35.209828557536056,32.10209867267387,35.20942613301477,39.972015917378876
v1,385,data/processed/frames_v1_1fps/frame_000014.jpg,v2,1458,data/processed/frames_v2_1fps/frame_000050.jpg,0.925970196723938,10,42.82199823985795,32.101932885259345,35.20983590344516,32.1055057901682,35.21082554147207,408.5355238454372
v1,415,data/processed/frames_v1_1fps/frame_000015.jpg,v2,1488,data/processed/frames_v2_1fps/frame_000051.jpg,0.9321672916412354,10,359.19533727795664,32.10187866395573,35.20984365440289,32.10535670974423,35.21076166507814,396.73399170563795
v1,445,data/processed/frames_v1_1fps/frame_000016.jpg,v2,1488,data/processed/frames_v2_1fps/frame_000051.jpg,0.9269106984138489,10,363.0172583013953,32.10184359783,35.20984900062186,32.10535670974423,35.21076166507814,400.435725559699
v1,475,data/processed/frames_v1_1fps/frame_000017.jpg,v2,1458,data/processed/frames_v2_1fps/frame_000050.jpg,0.9294398427009583,10,364.0459848374115,32.1018340611702,35.20985152087103,32.1055057901682,35.21082554147207,418.9278869704136
v1,504,data/processed/frames_v1_1fps/frame_000018.jpg,v2,1458,data/processed/frames_v2_1fps/frame_000050.jpg,0.9294788241386414,10,368.0665849375815,32.10179729828814,35.209856121068945,32.1055057901682,35.21082554147207,422.82769335769524
v1,534,data/processed/frames_v1_1fps/frame_000019.jpg,v2,1458,data/processed/frames_v2_1fps/frame_000050.jpg,0.9274116158485413,10,373.907881881879,32.10174384910334,35.20986360990191,32.1055057901682,35.21082554147207,428.4887852710892
v1,564,data/processed/frames_v1_1fps/frame_000020.jpg,v2,1458,data/processed/frames_v2_1fps/frame_000050.jpg,0.919903039932251,10,379.2605330784104,32.101694899381826,35.20987057620545,32.1055057901682,35.21082554147207,433.67899494604535
v1,594,data/processed/frames_v1_1fps/frame_000021.jpg,v2,1488,data/processed/frames_v2_1fps/frame_000051.jpg,0.9169052839279175,10,383.2847628318134,32.101658144805306,35.20987552906753,32.10535670974423,35.21076166507814,420.1164990954926
v1,624,data/processed/frames_v1_1fps/frame_000022.jpg,v2,1488,data/processed/frames_v2_1fps/frame_000051.jpg,0.9186422824859619,10,383.93227951234263,32.10165220385147,35.20987666767708,32.10535670974423,35.21076166507814,420.74333970008604
v1,654,data/processed/frames_v1_1fps/frame_000023.jpg,v2,1488,data/processed/frames_v2_1fps/frame_000051.jpg,0.9162852168083191,10,386.8513963916681,32.10162540657578,35.2098820810687,32.10535670974423,35.21076166507814,423.5672838007255
v1,684,data/processed/frames_v1_1fps/frame_000024.jpg,v2,1488,data/processed/frames_v2_1fps/frame_000051.jpg,0.9120392799377441,10,388.4370258966051,32.10161078586767,35.20988589742845,32.10535670974423,35.21076166507814,425.09340111521396
v1,714,data/processed/frames_v1_1fps/frame_000025.jpg,v2,1488,data/processed/frames_v2_1fps/frame_000051.jpg,0.909941554069519,10,389.5074152421126,32.101600875632236,35.20988902162618,32.10535670974423,35.21076166507814,426.11864761380394
