query_frame_index,query_time_s,query_timecode,prediction_target,pred_latitude,pred_longitude,raw_pred_latitude,raw_pred_longitude,matched_reference_image,matched_reference_flight,matched_reference_frame_index,matched_reference_time_s,matched_reference_timecode,retrieval_distance,retrieval_similarity,selected_query_scale,orb_good_matches,homography_inliers,mean_match_distance,verification_inlier_ratio,projected_center_x,projected_center_y,projected_center_inside,homography_quad_area_frac,homography_geometry_ok,verification_geometry_reason,query_inlier_bbox_area_frac,query_inlier_bbox_width_frac,query_inlier_bbox_height_frac,reference_inlier_bbox_area_frac,reference_inlier_bbox_width_frac,reference_inlier_bbox_height_frac,temporal_filter_enabled,filter_accepted,filter_reason,filter_visual_score,filter_temporal_distance_m,filter_fused_score,truth_latitude_eval_only,truth_longitude_eval_only,error_m_eval_only,processing_time_ms,debug_image,resolved_reference_image,debug_match_backend,debug_good_matches_recomputed,debug_inliers_recomputed,debug_homography_found,debug_reference_path,debug_selected_query_scale_used,debug_query_accepted_masks,debug_reference_accepted_masks
3195,106.606,00:01:46.606,center,32.10629465,35.20673732,32.10629465,35.20673732,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,DJI_0006,22950,765.765,00:12:45.765,0.282556,0.717444,0.2000,91,28,292.077,0.307692,739.825,359.278,1,1.548155,1,ok,0.027995,0.187500,0.149306,0.043864,0.191406,0.229167,0,1,accepted,4.540992,,4.540992,,,,7332.74,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0010_query_003195_ref_DJI_0006_22950_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,LightGlue,91,28,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,0.2000,0,0
3285,109.609,00:01:49.610,center,32.10563987,35.20721578,32.10563987,35.20721578,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019680.jpg,DJI_0006,19680,656.656,00:10:56.656,0.285384,0.714616,0.3000,95,24,266.100,0.252632,1179.989,405.372,1,0.897225,1,ok,0.079027,0.264648,0.298611,0.041835,0.170898,0.244792,0,1,accepted,4.612553,,4.612553,,,,7172.74,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0011_query_003285_ref_DJI_0006_19680_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019680.jpg,LightGlue,95,24,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019680.jpg,0.3000,0,0
3330,111.111,00:01:51.111,center,32.10573289,35.20751367,32.10573289,35.20751367,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,DJI_0006,19590,653.653,00:10:53.653,0.271208,0.728792,0.2000,82,26,369.039,0.317073,1169.803,233.951,1,1.053150,1,ok,0.020981,0.122070,0.171875,0.018989,0.109375,0.173611,0,1,accepted,3.460388,,3.460388,,,,7249.65,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0012_query_003330_ref_DJI_0006_19590_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,LightGlue,82,26,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,0.2000,0,0
3375,112.612,00:01:52.612,center,32.10570896,35.20741207,32.10570896,35.20741207,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,DJI_0006,19620,654.654,00:10:54.654,0.297527,0.702473,0.3000,82,29,316.063,0.353659,1080.947,269.388,1,0.734240,1,ok,0.073151,0.298828,0.244792,0.034559,0.177734,0.194444,0,1,accepted,4.281602,,4.281602,,,,8164.72,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0013_query_003375_ref_DJI_0006_19620_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,LightGlue,82,29,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,0.3000,0,0
4095,136.637,00:02:16.636,center,32.10629465,35.20673732,32.10629465,35.20673732,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,DJI_0006,22950,765.765,00:12:45.765,0.303329,0.696671,0.3000,62,19,281.517,0.306452,786.777,365.069,1,2.686970,1,ok,0.040949,0.243164,0.168403,0.032281,0.156250,0.206597,0,1,accepted,3.976590,,3.976590,,,,8765.94,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0014_query_004095_ref_DJI_0006_22950_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,LightGlue,62,19,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,0.3000,0,0
4140,138.138,00:02:18.138,center,32.10632476,35.20681688,32.10632476,35.20681688,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022920.jpg,DJI_0006,22920,764.764,00:12:44.764,0.317882,0.682118,0.2000,104,36,316.289,0.346154,711.258,341.129,1,3.000483,1,ok,0.034251,0.177734,0.192708,0.040995,0.152344,0.269097,0,1,accepted,4.635930,,4.635930,,,,7311.89,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0015_query_004140_ref_DJI_0006_22920_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022920.jpg,LightGlue,104,36,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022920.jpg,0.2000,0,0
4230,141.141,00:02:21.141,center,32.10563987,35.20721578,32.10563987,35.20721578,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019680.jpg,DJI_0006,19680,656.656,00:10:56.656,0.297703,0.702297,0.3000,105,35,221.519,0.333333,1141.684,428.234,1,0.571265,1,ok,0.072005,0.267578,0.269097,0.040812,0.199219,0.204861,0,1,accepted,5.794008,,5.794008,,,,7248.31,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0016_query_004230_ref_DJI_0006_19680_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019680.jpg,LightGlue,105,35,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019680.jpg,0.3000,0,0
4275,142.643,00:02:22.642,center,32.10573289,35.20751367,32.10573289,35.20751367,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,DJI_0006,19590,653.653,00:10:53.653,0.278356,0.721644,0.3000,76,29,357.662,0.381579,1096.149,234.980,1,0.693399,1,ok,0.061462,0.207031,0.296875,0.030863,0.144531,0.213542,0,1,accepted,3.783831,,3.783831,,,,8414.16,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0017_query_004275_ref_DJI_0006_19590_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,LightGlue,76,29,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019590.jpg,0.3000,0,0
4320,144.144,00:02:24.144,center,32.10570896,35.20741207,32.10570896,35.20741207,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,DJI_0006,19620,654.654,00:10:54.654,0.334624,0.665376,0.3000,88,29,308.760,0.329545,1030.369,265.745,1,0.553322,1,ok,0.065748,0.270508,0.243056,0.031311,0.166992,0.187500,0,1,accepted,4.333343,,4.333343,,,,8790.63,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0018_query_004320_ref_DJI_0006_19620_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,LightGlue,88,29,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,0.3000,0,0
4365,145.645,00:02:25.646,center,32.10577196,35.20760907,32.10577196,35.20760907,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,DJI_0006,19560,652.652,00:10:52.652,0.346064,0.653936,0.2000,52,17,421.658,0.326923,1041.787,112.838,1,1.168388,1,ok,0.017654,0.114258,0.154514,0.018684,0.092773,0.201389,0,1,accepted,1.983389,,1.983389,,,,6833.37,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0019_query_004365_ref_DJI_0006_19560_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,LightGlue,52,17,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,0.2000,0,0
5400,180.180,00:03:00.180,center,32.10577196,35.20760907,32.10577196,35.20760907,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,DJI_0006,19560,652.652,00:10:52.652,0.275923,0.724077,0.2000,94,37,273.398,0.393617,1092.673,315.873,1,2.317716,1,ok,0.032398,0.192383,0.168403,0.055206,0.237305,0.232639,0,1,accepted,5.268523,,5.268523,,,,8739.85,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0020_query_005400_ref_DJI_0006_19560_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,LightGlue,94,37,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,0.2000,0,0
5445,181.681,00:03:01.682,center,32.10577196,35.20760907,32.10577196,35.20760907,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,DJI_0006,19560,652.652,00:10:52.652,0.240070,0.759930,0.3000,86,28,391.031,0.325581,1152.613,260.913,1,0.882424,1,ok,0.039213,0.223633,0.175347,0.018687,0.163086,0.114583,0,1,accepted,3.348017,,3.348017,,,,7059.71,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0021_query_005445_ref_DJI_0006_19560_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,LightGlue,86,28,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019560.jpg,0.3000,0,0
5490,183.183,00:03:03.183,center,32.10570896,35.20741207,32.10570896,35.20741207,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,DJI_0006,19620,654.654,00:10:54.654,0.260169,0.739831,0.2000,61,19,353.427,0.311475,1189.564,271.808,1,1.659884,1,ok,0.114029,0.465820,0.244792,0.035461,0.243164,0.145833,0,1,accepted,3.124274,,3.124274,,,,6714.48,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0022_query_005490_ref_DJI_0006_19620_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,LightGlue,61,19,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_019620.jpg,0.2000,0,0
6795,226.727,00:03:46.727,center,32.10629465,35.20673732,32.10629465,35.20673732,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,DJI_0006,22950,765.765,00:12:45.765,0.298376,0.701624,0.3000,52,13,291.438,0.250000,687.497,387.059,1,2.309499,1,ok,0.022066,0.133789,0.164931,0.037842,0.151367,0.250000,0,1,accepted,3.228170,,3.228170,,,,8591.78,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0023_query_006795_ref_DJI_0006_22950_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,LightGlue,52,13,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_022950.jpg,0.3000,0,0
7380,246.246,00:04:06.246,center,32.10512926,35.20643305,32.10512926,35.20643305,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,DJI_0006,21900,730.730,00:12:10.730,0.280022,0.719978,0.3000,189,51,285.058,0.269841,834.263,347.641,1,1.110557,1,ok,0.031537,0.204102,0.154514,0.026403,0.174805,0.151042,0,1,accepted,5.698894,,5.698894,,,,7788.30,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0024_query_007380_ref_DJI_0006_21900_accepted.jpg,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,LightGlue,189,51,1,data\processed\reference_frames\DJI_0006\DJI_0006_frame_021900.jpg,0.3000,0,0
9765,325.826,00:05:25.826,center,32.10523054,35.20290631,32.10523054,35.20290631,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004950.jpg,DJI_0008,4950,165.165,00:02:45.165,0.267305,0.732695,0.3000,29,12,583.336,0.413793,514.195,155.175,1,0.177382,1,ok,0.009808,0.086914,0.112847,0.010135,0.095703,0.105903,0,1,accepted,-0.537774,,-0.537774,,,,10575.47,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0025_query_009765_ref_DJI_0008_4950_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004950.jpg,LightGlue,29,12,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004950.jpg,0.3000,0,0
10035,334.834,00:05:34.834,center,32.10359144,35.20446852,32.10359144,35.20446852,data\processed\reference_frames\DJI_0008\DJI_0008_frame_022320.jpg,DJI_0008,22320,744.744,00:12:24.744,0.246845,0.753155,0.3000,48,12,551.385,0.250000,507.165,187.119,1,1.346515,1,ok,0.007012,0.091797,0.076389,0.019328,0.146484,0.131944,0,1,accepted,-0.099845,,-0.099845,,,,8730.68,data\processed\debug_matches\DJI_0011_every45_stage10_3_tail_rescue_debug\feature_match_0026_query_010035_ref_DJI_0008_22320_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_022320.jpg,LightGlue,48,12,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_022320.jpg,0.3000,0,0
