frame_a,frame_b,dt_s,alt_mean_m,gsd_m_px,dx_px,dy_px,dr_dx_m,dr_dy_m,speed_m_s,n_matches,cum_x_m,cum_y_m
2669,2699,1.001,37.8,0.0395,11.25,-69.37,-0.445,2.743,2.78,290,-160.16,-516.88
2699,2729,1.001,34.8,0.0365,15.00,-65.62,-0.547,2.392,2.45,329,-160.71,-514.49
2729,2759,1.000,31.8,0.0333,45.00,-60.00,-1.499,1.999,2.50,323,-162.20,-512.49
2759,2789,1.001,28.8,0.0302,56.25,-65.62,-1.697,1.980,2.60,313,-163.90,-510.51
2789,2818,0.968,25.8,0.0270,-33.75,-69.38,0.912,1.875,2.15,324,-162.99,-508.64
2818,2848,1.001,22.8,0.0239,5.62,-80.62,-0.134,1.925,1.93,309,-163.12,-506.71
2848,2878,1.001,19.8,0.0207,11.25,-65.62,-0.233,1.361,1.38,312,-163.36,-505.35
2878,2908,1.001,17.9,0.0187,-15.00,-60.00,0.281,1.125,1.16,341,-163.08,-504.23
2908,2938,1.000,17.6,0.0184,-21.56,-194.06,0.396,3.567,3.59,218,-162.68,-500.66
2938,2968,1.001,17.6,0.0184,3.75,-61.88,-0.069,1.141,1.14,339,-162.75,-499.52
2968,2998,1.001,16.7,0.0175,11.25,-71.25,-0.197,1.246,1.26,294,-162.94,-498.27
2998,3028,1.001,14.2,0.0149,0.00,-80.62,-0.000,1.203,1.20,270,-162.94,-497.07
3028,3058,1.001,11.3,0.0119,-30.00,-71.25,0.357,0.847,0.92,311,-162.59,-496.22
3058,3088,1.001,9.8,0.0103,86.25,-22.50,-0.890,0.232,0.92,353,-163.48,-495.99
3088,3118,1.001,9.5,0.0100,5.62,-69.38,-0.056,0.690,0.69,351,-163.53,-495.30
3118,3148,1.001,7.9,0.0083,-45.00,-153.75,0.372,1.272,1.32,234,-163.16,-494.03
3148,3178,1.001,5.6,0.0059,-11.25,-86.25,0.066,0.506,0.51,343,-163.10,-493.52
3178,3208,1.001,4.7,0.0049,13.12,-99.37,-0.065,0.489,0.49,317,-163.16,-493.03
3208,3238,1.000,4.7,0.0049,61.88,-61.87,-0.305,0.305,0.43,343,-163.47,-492.73
3238,3268,1.001,4.7,0.0049,50.62,-73.12,-0.247,0.356,0.43,321,-163.71,-492.37
3268,3298,1.001,3.5,0.0037,-94.69,-180.00,0.352,0.669,0.76,210,-163.36,-491.70
3298,3328,1.001,1.9,0.0019,-60.00,-76.87,0.116,0.149,0.19,277,-163.24,-491.55
3328,3358,1.001,1.0,0.0010,-11.25,-33.75,0.012,0.035,0.04,352,-163.23,-491.52
3358,3388,1.001,0.6,0.0006,-43.12,-64.69,0.025,0.037,0.04,226,-163.21,-491.48
3388,3418,1.001,0.1,0.0002,-1.88,-7.50,0.000,0.001,0.00,393,-163.21,-491.48
