frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
66,2.16883333333333,2026:04:27 12:27:37.169Z,32.1024831696434,35.2096870459479,49.8,-1.8,7.0,-107.1,-45.2,-98.6
67,2.2022,2026:04:27 12:27:37.202Z,32.1024831696434,35.2096870459479,49.8,-1.8,7.0,-107.1,-45.2,-92.6
68,2.23556666666667,2026:04:27 12:27:37.236Z,32.1024832090476,35.2096873266256,49.8,-2.7,6.2,-101.2,-45.2,-92.6
69,2.26893333333333,2026:04:27 12:27:37.269Z,32.1024832090476,35.2096873266256,49.8,-2.7,6.2,-101.2,-45.2,-92.6
70,2.3023,2026:04:27 12:27:37.302Z,32.1024832090476,35.2096873266256,49.8,-2.7,6.2,-101.2,-45.3,-86.6
71,2.33566666666667,2026:04:27 12:27:37.336Z,32.1024832445533,35.209687613559,49.8,-3.3,5.8,-95.3,-45.3,-86.6
72,2.36903333333333,2026:04:27 12:27:37.369Z,32.1024832445533,35.209687613559,49.8,-3.3,5.8,-95.3,-45.3,-86.6
73,2.4024,2026:04:27 12:27:37.402Z,32.1024832445533,35.209687613559,49.8,-3.3,5.8,-95.3,-45.2,-80.6
74,2.43576666666667,2026:04:27 12:27:37.436Z,32.1024833351339,35.2096877604597,49.8,-4.0,5.2,-89.3,-45.2,-80.6
75,2.46913333333333,2026:04:27 12:27:37.469Z,32.1024833351339,35.2096877604597,49.8,-4.0,5.2,-89.3,-45.2,-80.6
76,2.5025,2026:04:27 12:27:37.503Z,32.1024833351339,35.2096877604597,49.8,-4.0,5.2,-89.3,-45.2,-74.6
77,2.53586666666667,2026:04:27 12:27:37.536Z,32.1024833698514,35.209687997961,49.8,-4.8,4.7,-83.3,-45.2,-74.6
78,2.56923333333333,2026:04:27 12:27:37.569Z,32.1024833698514,35.209687997961,49.8,-4.8,4.7,-83.3,-45.2,-74.6
79,2.6026,2026:04:27 12:27:37.603Z,32.1024833698514,35.209687997961,49.8,-4.8,4.7,-83.3,-45.3,-68.6
80,2.63596666666667,2026:04:27 12:27:37.636Z,32.1024834619315,35.2096881589486,49.8,-5.4,4.0,-77.2,-45.3,-68.6
81,2.66933333333333,2026:04:27 12:27:37.669Z,32.1024834619315,35.2096881589486,49.8,-5.4,4.0,-77.2,-45.3,-68.6
82,2.7027,2026:04:27 12:27:37.703Z,32.1024834619315,35.2096881589486,49.8,-5.4,4.0,-77.2,-45.3,-62.6
83,2.73606666666667,2026:04:27 12:27:37.736Z,32.1024834989965,35.2096883741929,49.8,-5.6,3.0,-71.1,-45.3,-62.6
84,2.76943333333333,2026:04:27 12:27:37.769Z,32.1024834989965,35.2096883741929,49.8,-5.6,3.0,-71.1,-45.3,-62.6
85,2.8028,2026:04:27 12:27:37.803Z,32.1024834989965,35.2096883741929,49.8,-5.6,3.0,-71.1,-45.3,-56.7
86,2.83616666666667,2026:04:27 12:27:37.836Z,32.1024834657956,35.209688537431,49.8,-5.6,2.1,-65.0,-45.3,-56.7
87,2.86953333333333,2026:04:27 12:27:37.870Z,32.1024834657956,35.209688537431,49.8,-5.6,2.1,-65.0,-45.3,-56.7
88,2.9029,2026:04:27 12:27:37.903Z,32.1024834657956,35.209688537431,49.8,-5.6,2.1,-65.0,-45.3,-52.8
89,2.93626666666667,2026:04:27 12:27:37.936Z,32.1024834859304,35.2096887493982,49.8,-5.6,1.2,-60.5,-45.3,-52.8
90,2.96963333333333,2026:04:27 12:27:37.970Z,32.1024834859304,35.2096887493982,49.8,-5.6,1.2,-60.5,-45.3,-52.8
91,3.003,2026:04:27 12:27:38.003Z,32.1024834859304,35.2096887493982,49.8,-5.6,1.2,-60.5,-45.3,-51.1
92,3.03636666666667,2026:04:27 12:27:38.036Z,32.1024834257746,35.2096889837337,49.8,-5.9,0.8,-59.1,-45.3,-51.1
93,3.06973333333333,2026:04:27 12:27:38.070Z,32.1024834257746,35.2096889837337,49.8,-5.9,0.8,-59.1,-45.3,-51.1
94,3.1031,2026:04:27 12:27:38.103Z,32.1024834257746,35.2096889837337,49.8,-5.9,0.8,-59.1,-45.3,-50.0
95,3.13646666666667,2026:04:27 12:27:38.136Z,32.1024833935933,35.2096892229596,49.8,-6.4,0.5,-58.4,-45.3,-50.0
96,3.16983333333333,2026:04:27 12:27:38.170Z,32.1024833935933,35.2096892229596,49.8,-6.4,0.5,-58.4,-45.3,-50.0
97,3.2032,2026:04:27 12:27:38.203Z,32.1024833935933,35.2096892229596,49.8,-6.4,0.5,-58.4,-45.3,-47.9
98,3.33666666666667,2026:04:27 12:27:38.337Z,32.1024832908546,35.2096896757128,49.8,-7.0,-1.0,-52.2,-45.3,-43.5
99,3.37003333333333,2026:04:27 12:27:38.370Z,32.1024832908546,35.2096896757128,49.8,-7.0,-1.0,-52.2,-45.3,-43.5
100,3.4034,2026:04:27 12:27:38.403Z,32.1024832908546,35.2096896757128,49.8,-7.0,-1.0,-52.2,-45.3,-37.8
101,3.43676666666667,2026:04:27 12:27:38.437Z,32.1024832733674,35.2096897821048,49.8,-6.8,-2.1,-46.0,-45.3,-37.8
